Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,Image Url,Female Nudity,Male Nudity,Nudity
"1987.179.1, .2",False,True,True,207693,800,European Sculpture and Decorative Arts,1987,Statuettes,Pair of Standing Nude Male Figures Demonstrating the Principles of Contrapposto according to Michelangelo and Phidias,French,,,,,16232,Artist, ,Auguste Rodin,"French, Paris 1840–1917 Meudon", ,"Rodin, Auguste",French,1840      ,1917      ,male,http://vocab.getty.edu/page/ulan/500016619,https://www.wikidata.org/wiki/Q30755,ca. 1911,1906,1916,Terracotta,"Height (.1, wt. confirmed): 14 1/2 in., 6.6 lb. (36.8 cm, 3 kg)
Height (.2, wt. confirmed): 14 1/2 in., 5.2 lb. (36.8 cm, 2.4 kg)","Gift of Iris and B. Gerald Cantor Foundation, 1987",,,,,France,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/207693,https://www.wikidata.org/wiki/Q116240652,,"Metropolitan Museum of Art, New York, NY",Male Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/DP-13617-050.jpg|https://images.metmuseum.org/CRDImages/es/original/DP-13617-051.jpg|https://images.metmuseum.org/CRDImages/es/original/DP-13617-066.jpg|https://images.metmuseum.org/CRDImages/es/original/DP-13617-067.jpg|https://images.metmuseum.org/CRDImages/es/original/DP-13617-068.jpg|https://images.metmuseum.org/CRDImages/es/original/DP-13617-069.jpg|https://images.metmuseum.org/CRDImages/es/original/DP-13617-070.jpg|https://images.metmuseum.org/CRDImages/es/original/DP-13617-071.jpg,,True,Male
1989.8,False,False,True,207780,556,European Sculpture and Decorative Arts,1989,Relief,Advertisement for Muller Stoneware Manufactory,"French, Ivry",,,,,3339,Artist, ,Alexandre-Louis-Marie Charpentier,"French, Paris 1856–1909 Neuilly", ,"Charpentier, Alexandre-Louis-Marie",French,1856      ,1909      ,male,http://vocab.getty.edu/page/ulan/500020471,https://www.wikidata.org/wiki/Q980735,1897,1897,1897,Glazed stoneware,36 × 25 3/8 in. (91.4 × 64.5 cm),"Purchase, Robert L. Isaacson Gift, 1988",,,,,France,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/207780,https://www.wikidata.org/wiki/Q116373940,,"Metropolitan Museum of Art, New York, NY",Advertisements,http://vocab.getty.edu/page/aat/300193993,https://www.wikidata.org/wiki/Q39911916,https://images.metmuseum.org/CRDImages/es/original/DT6045.jpg,,True,Male
1991.23,False,False,True,207949,556,European Sculpture and Decorative Arts,1991,Medal,Reduction et Frappe de Medailles,French,,,,,3339,Artist,Medalist:,Alexandre-Louis-Marie Charpentier,"French, Paris 1856–1909 Neuilly", ,"Charpentier, Alexandre-Louis-Marie",French,1856      ,1909      ,male,http://vocab.getty.edu/page/ulan/500020471,https://www.wikidata.org/wiki/Q980735,ca. 1900–1910,1895,1915,Bronze,2 3/16 × 2 3/8 in. (5.6 × 6 cm),"Purchase, Friends of European Sculpture and Decorative Arts Gifts, 1991",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/207949,https://www.wikidata.org/wiki/Q116309377,,"Metropolitan Museum of Art, New York, NY",Men|Working,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300412186,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q6958747,https://images.metmuseum.org/CRDImages/es/original/252334.jpg|https://images.metmuseum.org/CRDImages/es/original/252335.jpg,,True,Male
1991.241.1,False,False,True,208014,556,European Sculpture and Decorative Arts,1991,Medal,Alexandre Falguière,French,,,,,3468,Artist,Medalist:,Victor Peter,"French, Paris 1840–1918 Paris", ,"Peter, Victor",French,1840      ,1918      ,male,http://vocab.getty.edu/page/ulan/500075966,https://www.wikidata.org/wiki/Q3557500,1899,1899,1899,Bronze,Diameter: 2 11/16 in. (6.8 cm),"Purchase, Bequest of Gwynne M. Andrews, by exchange, 1991",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/208014,https://www.wikidata.org/wiki/Q116308356,,"Metropolitan Museum of Art, New York, NY",Human Figures|Men|Profiles|Pegasus,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319|http://vocab.getty.edu/page/ia/901000756,https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q4382010|https://www.wikidata.org/wiki/Q162797,https://images.metmuseum.org/CRDImages/es/original/253825.jpg|https://images.metmuseum.org/CRDImages/es/original/253826.jpg,True,,Female
1991.446,False,False,True,208044,556,European Sculpture and Decorative Arts,1991,Statuette,Nijinsky,French,,,,,16232,Artist, ,Auguste Rodin,"French, Paris 1840–1917 Meudon", ,"Rodin, Auguste",French,1840      ,1917      ,male,http://vocab.getty.edu/page/ulan/500016619,https://www.wikidata.org/wiki/Q30755,"modeled 1912, cast 1959",1912,1959,"Bronze, marble base","Overall (without base): 6 3/4 × 2 7/8 × 2 5/8 in. (17.1 × 7.3 × 6.7 cm);
Height (with base): 9 3/4 in. (24.8 cm)","Gift in honor of B. Gerald Cantor, 1991",,,,,France,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/208044,https://www.wikidata.org/wiki/Q97417267,,"Metropolitan Museum of Art, New York, NY",Dancers|Men|Dancing,http://vocab.getty.edu/page/aat/300025653|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300389779,https://www.wikidata.org/wiki/Q5716684|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q43393537,https://images.metmuseum.org/CRDImages/es/original/DT6784.jpg|https://images.metmuseum.org/CRDImages/es/original/DT6785.jpg,,True,Male
1995.124.1,False,False,True,208204,,European Sculpture and Decorative Arts,1995,Medal,Jules Méline,French,,,,,3375,Artist,Medalist:,François-Joseph-Hubert Ponscarme,"French, Belmont-les-Monthureaux, Vosges 1827–1903 Malakoff, Hauts-de-Seine", ,"Ponscarme, François-Joseph-Hubert",French,1827      ,1903      ,male,(not assigned),https://www.wikidata.org/wiki/Q598120,1892,1892,1892,Bronze,Diameter: 2 11/16 in. (68 mm),"Gift of David and Constance Yates, 1995",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/208204,,,"Metropolitan Museum of Art, New York, NY",Men|Profiles,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q4382010,https://images.metmuseum.org/CRDImages/es/original/261911.jpg|https://images.metmuseum.org/CRDImages/es/original/261912.jpg,True,,Female
1995.124.2,False,False,True,208205,,European Sculpture and Decorative Arts,1995,Medal model,Model for the Medal of Jules Méline,French,,,,,3375,Artist, ,François-Joseph-Hubert Ponscarme,"French, Belmont-les-Monthureaux, Vosges 1827–1903 Malakoff, Hauts-de-Seine", ,"Ponscarme, François-Joseph-Hubert",French,1827      ,1903      ,male,(not assigned),https://www.wikidata.org/wiki/Q598120,1892,1892,1892,Wax on slate,5 15/16 × 5 7/8 in. (15.1 × 14.9 cm),"Gift of David and Constance Yates, 1995",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/208205,,,"Metropolitan Museum of Art, New York, NY",Men|Women|Leaves,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300011892,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q33971,https://images.metmuseum.org/CRDImages/es/original/261913.jpg,True,,Female
"1995.469.2a, b",False,False,True,208534,,European Sculpture and Decorative Arts,1995,Relief mold,Positive and negative molds of a relief after Rodin's Thinker,French,,,,,3468,Artist, ,Victor Peter,"French, Paris 1840–1918 Paris", ,"Peter, Victor",French,1840      ,1918      ,male,http://vocab.getty.edu/page/ulan/500075966,https://www.wikidata.org/wiki/Q3557500,ca. 1900,1895,1905,Plaster,5 15/16 × 4 in. (15.1 × 10.2 cm),"Gift of David and Constance Yates, in memory of Ruth Blumka, 1995",,,,,France,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/208534,,,"Metropolitan Museum of Art, New York, NY",Contemplation|Male Nudes,http://vocab.getty.edu/page/aat/300264547|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q1123855|https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/261919.jpg|https://images.metmuseum.org/CRDImages/es/original/261920.jpg,,True,Male
X.231,False,False,True,208802,,European Sculpture and Decorative Arts,,Statuette,Torso,French,,,,,16527,Artist, ,Alphonse Legros,"French, Dijon 1837–1911 Watford, Hertfordshire", ,"Legros, Alphonse",French and British,1837      ,1911      ,male,http://vocab.getty.edu/page/ulan/500013515,https://www.wikidata.org/wiki/Q957538,1892,1892,1892,Plaster,Height: 21 1/2 in. (54.6 cm),Museum Accession,,,,,France,,,,,,,Sculpture-Reproductions-Casts,,http://www.metmuseum.org/art/collection/search/208802,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/118730.jpg,True,,Female
1997.395.2,False,False,True,208856,,European Sculpture and Decorative Arts,1997,Medallion,Medallion,French,,,,,3468,Maker, ,Victor Peter,"French, Paris 1840–1918 Paris", ,"Peter, Victor",French,1840      ,1918      ,male,http://vocab.getty.edu/page/ulan/500075966,https://www.wikidata.org/wiki/Q3557500,ca. 1900,1895,1905,Patinated plaster,Diameter: 4 5/16 in. (11 cm),"Gift of David and Constance Yates, in memory of Ruth Blumka and Victoria Blumka Nasatir Goldberg, 1997",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/208856,,,"Metropolitan Museum of Art, New York, NY",Human Figures|Deer,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300250308,https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q685795,https://images.metmuseum.org/CRDImages/es/original/DP100576.jpg|https://images.metmuseum.org/CRDImages/es/original/DP100975.jpg,True,,Female
04.36,False,False,True,209021,,European Sculpture and Decorative Arts,1904,Statue,The Thinker (Le Penseur),French,,,,,16232,Artist, ,Auguste Rodin,"French, Paris 1840–1917 Meudon", ,"Rodin, Auguste",French,1840      ,1917      ,male,http://vocab.getty.edu/page/ulan/500016619,https://www.wikidata.org/wiki/Q30755,1904,1904,1904,Plaster,Overall (with base): 70 1/2 × 55 3/4 in. (179.1 × 141.6 cm),"Gift of André Saglio, Commissioner of Fine Arts of the French Government at the St. Louis Exposition, 1904",,,,,France,,,,,,,Sculpture-Reproductions-Casts,,http://www.metmuseum.org/art/collection/search/209021,,,"Metropolitan Museum of Art, New York, NY",Contemplation|Male Nudes,http://vocab.getty.edu/page/aat/300264547|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q1123855|https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/4522.jpg|https://images.metmuseum.org/CRDImages/es/original/4521.jpg|https://images.metmuseum.org/CRDImages/es/original/1447.jpg,,True,Male
2001.217.21,False,False,True,210810,,European Sculpture and Decorative Arts,2001,Sovereign,Edward VII sovereign,British,,,,,335003982,Maker|Maker,Medalist (reverse):|Medalist (obverse):,Benedetto Pistrucci|G.W. DeSaulles,"Italian, 1783–1855, active England|1862–1903", | ,"Pistrucci, Benedetto|DeSaulles G.W.",Italian| ,1783      |1862      ,1855      |1903      ,male,http://vocab.getty.edu/page/ulan/500064192|,https://www.wikidata.org/wiki/Q327504|,1902,1902,1902,Gold,Diameter: 23 mm.,"Gift of Assunta Sommella Peluso, Ada Peluso, and Romano I. Peluso, in memory of Ignazio Peluso, 2001",,,,,United Kingdom,,,,,,,Coins,,http://www.metmuseum.org/art/collection/search/210810,,,"Metropolitan Museum of Art, New York, NY",Men|Profiles|Dragons|Horses,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319|http://vocab.getty.edu/page/aat/300375726|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q4382010|https://www.wikidata.org/wiki/Q7559|https://www.wikidata.org/wiki/Q726,https://images.metmuseum.org/CRDImages/es/original/DP100405.jpg|https://images.metmuseum.org/CRDImages/es/original/DP100406.jpg,,True,Male
1988.1173,False,False,True,266060,,Photographs,1988,Photograph,L'Homme Qui Marche,,,,,,5559,Artist, ,Eugène Druet,"French, Paris 1867–1916 Paris", ,"Druet, Eugène",French,1867      ,1916      ,male,http://vocab.getty.edu/page/ulan/500075424,https://www.wikidata.org/wiki/Q3059832,1907–12,1907,1912,Gelatin silver print,36.2 x 23.2 cm. (14  1/4  x 9  1/8  in.),"Gift of Miss G. Louise Robinson, 1940, transferred from the Library",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/266060,,,"Metropolitan Museum of Art, New York, NY",Sculpture|Men,http://vocab.getty.edu/page/aat/300047090|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q860861|https://www.wikidata.org/wiki/Q8441,https://images.metmuseum.org/CRDImages/ph/original/DP-13596-001.jpg,,True,Male
33.43.254,False,False,True,267665,,Photographs,1933,Photograph,[Study in Orange],,,,,,5541,Artist, ,René Le Bègue,"French, 1857–1914", ,"Le Bègue, René",French,1857      ,1914      ,male,(not assigned),https://www.wikidata.org/wiki/Q2144744,1904,1904,1904,Gum bichromate print,22.0 x 14.3 cm. (8  11/16  x 5  5/8  in.),"Alfred Stieglitz Collection, 1933",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/267665,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ph/original/DP259812.jpg,True,,Female
33.43.258,False,False,True,267669,,Photographs,1933,Photograph,Académie,,,,,,5541,Artist, ,René Le Bègue,"French, 1857–1914", ,"Le Bègue, René",French,1857      ,1914      ,male,(not assigned),https://www.wikidata.org/wiki/Q2144744,1902,1902,1902,Gum bichromate print,24.1 x 18.0 cm. (9  1/2  x 7  1/16  in.),"Alfred Stieglitz Collection, 1933",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/267669,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ph/original/DP263578.jpg,True,,Female
49.55.220,False,False,True,269345,,Photographs,1949,Photograph,[Study in Orange],,,,,,5541,Artist, ,René Le Bègue,"French, 1857–1914", ,"Le Bègue, René",French,1857      ,1914      ,male,(not assigned),https://www.wikidata.org/wiki/Q2144744,1903,1903,1903,Gum bichromate print,25.7 x 19.7 cm. (10  1/8  x 7  3/4  in.),"Alfred Stieglitz Collection, 1949",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/269345,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ph/original/DP259809.jpg|https://images.metmuseum.org/CRDImages/ph/original/49_55_220_LeBegue_pigment particles_9_caption.jpg,True,,Female
2005.100.621,False,False,True,283234,,Photographs,1999,Photograph,[Study of a Sculpture],,,,,,5559,Artist,Attributed to,Eugène Druet,"French, Paris 1867–1916 Paris", ,"Druet, Eugène",French,1867      ,1916      ,male,http://vocab.getty.edu/page/ulan/500075424,https://www.wikidata.org/wiki/Q3059832,ca. 1900,1898,1902,Gelatin silver print,39.7 x 29.8 cm (15 5/8 x 11 3/4 in.),"Gilman Collection, Purchase, Mr. and Mrs. Henry R. Kravis Gift, 2005",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/283234,,,"Metropolitan Museum of Art, New York, NY",Sculpture|Male Nudes,http://vocab.getty.edu/page/aat/300047090|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q860861|https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ph/original/DP-387-015.jpg,,True,Male
2001.483.1–.172,False,False,True,284718,,Photographs,2001,Album,[Album of Paris Crime Scenes],,,,,,5603,Artist,Attributed to,Alphonse Bertillon,"French, 1853–1914", ,"Bertillon, Alphonse",French,1853      ,1914      ,male,http://vocab.getty.edu/page/ulan/500336447,https://www.wikidata.org/wiki/Q568386,1901–8,1901,1908,Gelatin silver prints,"Overall: 24.3 x 31cm (9 9/16 x 12 3/16in.)
Page: 23 x 29 cm (9 1/16 x 11 7/16 in.)","Gilman Collection, Purchase, The Howard Gilman Foundation Gift, 2001",,,,,,,,,,,,Albums,,http://www.metmuseum.org/art/collection/search/284718,,,"Metropolitan Museum of Art, New York, NY",,,,https://images.metmuseum.org/CRDImages/ph/original/DP263651.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263658.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP265404.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263659.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263660.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263661.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263662.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263663.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263664.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263665.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263666.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263667.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263668.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263669.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263670.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263671.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263672.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263673.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263674.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263675.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263676.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263677.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263678.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263679.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263680.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263681.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263652.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263695.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263694.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263696.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263697.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263698.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263699.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263700.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263701.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263702.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263703.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263704.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263705.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263706.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263707.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263708.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263709.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263710.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263711.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263712.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263713.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263714.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263715.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263716.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263717.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263653.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263770.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263771.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263772.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263773.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263774.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263775.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263776.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263777.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263778.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263779.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263780.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263781.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263782.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263783.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263784.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263785.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263786.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263787.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263788.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263790.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263791.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263792.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263654.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263809.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263810.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263811.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263812.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263813.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263814.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263815.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263816.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263817.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263818.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263819.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263820.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263821.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263822.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263823.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263824.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263825.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263826.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263827.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263828.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263829.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263830.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263831.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263832.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263655.jpg|https://images.metmuseum.org/CRDImages/ph/original/DP263834.jpg,True,True,Female and Male
